Session ID: 240520220553, Date & Time:<START> :20-05-2024 22:05:53

Log Operating System	windows	Locale	ru_RU	Version	2.0.4 (Beta-3)
Index	Device	Input	Start_time	Start_clock	End_Time	End_clock	Event_time	Pause_time	Pause_location	Caret_position	Anchor_position	Mouse_x	Mouse_y	Selected_text	Replaced_text	Gene_type
0	<MOUSE>	<PRIMARY>	0	00:00:00	231	00:00:00	231	1255	initial	0	0	149	26			navigate
1	<KEYBOARD>	SHIFT	1881	00:00:01	2363	00:00:02	482	1650	unknown	0	0					unknown
2	<KEYBOARD>	SHIFT	3478	00:00:03	4137	00:00:04	659	1115	sentence beginning	0	0					unknown
3	<KEYBOARD>	Я	4039	00:00:04	4118	00:00:04	79	561	unknown	0	0					append
4	<KEYBOARD>	BACK_SPACE	5395	00:00:05	5455	00:00:05	60	1277	delete	0	0					delete
5	<KEYBOARD>	SHIFT	6858	00:00:06	7141	00:00:07	283	1403	unknown	0	0					unknown
6	<KEYBOARD>	И	7059	00:00:07	7154	00:00:07	95	201	unknown	0	0					append
7	<KEYBOARD>	з	7384	00:00:07	7457	00:00:07	73	230	unknown	1	1					append
8	<KEYBOARD>	SPACE	7688	00:00:07	7744	00:00:07	56	231	unknown	2	2					append
9	<KEYBOARD>	м	8343	00:00:08	8423	00:00:08	80	599	unknown	3	3					append
10	<KEYBOARD>	о	8500	00:00:08	8587	00:00:08	87	77	unknown	4	4					append
11	<KEYBOARD>	е	8766	00:00:08	8841	00:00:08	75	179	unknown	5	5					append
12	<KEYBOARD>	г	8877	00:00:08	8944	00:00:08	67	36	unknown	6	6					append
13	<KEYBOARD>	о	9071	00:00:09	9150	00:00:09	79	127	unknown	7	7					append
14	<KEYBOARD>	SPACE	9340	00:00:09	9398	00:00:09	58	190	unknown	8	8					append
15	<KEYBOARD>	о	9873	00:00:09	9948	00:00:09	75	475	unknown	9	9					append
16	<KEYBOARD>	к	10217	00:00:10	10303	00:00:10	86	269	unknown	10	10					append
17	<KEYBOARD>	н	10552	00:00:10	10625	00:00:10	73	249	unknown	11	11					append
18	<KEYBOARD>	а	10743	00:00:10	10819	00:00:10	76	118	unknown	12	12					append
19	<KEYBOARD>	SPACE	10970	00:00:10	11025	00:00:11	55	151	unknown	13	13					append
20	<KEYBOARD>	в	15258	00:00:15	15335	00:00:15	77	4233	unknown	14	14					append
21	<KEYBOARD>	и	15468	00:00:15	15536	00:00:15	68	133	unknown	15	15					append
22	<KEYBOARD>	д	15857	00:00:15	15939	00:00:15	82	321	unknown	16	16					append
23	<KEYBOARD>	н	16160	00:00:16	16230	00:00:16	70	221	unknown	17	17					append
24	<KEYBOARD>	о	16306	00:00:16	16377	00:00:16	71	76	unknown	18	18					append
25	<KEYBOARD>	SPACE	16683	00:00:16	16739	00:00:16	56	306	unknown	19	19					append
26	<KEYBOARD>	ч	25487	00:00:25	25618	00:00:25	131	8748	unknown	20	20					append
27	<KEYBOARD>	а	25785	00:00:25	25871	00:00:25	86	167	unknown	21	21					append
28	<KEYBOARD>	с	26093	00:00:26	26162	00:00:26	69	222	unknown	22	22					append
29	<KEYBOARD>	т	26267	00:00:26	26328	00:00:26	61	105	unknown	23	23					append
30	<KEYBOARD>	ь	26449	00:00:26	26521	00:00:26	72	121	unknown	24	24					append
31	<KEYBOARD>	SPACE	26629	00:00:26	26716	00:00:26	87	108	unknown	25	25					append
32	<KEYBOARD>	г	27209	00:00:27	27287	00:00:27	78	493	unknown	26	26					append
33	<KEYBOARD>	о	27405	00:00:27	27498	00:00:27	93	118	unknown	27	27					append
34	<KEYBOARD>	р	27635	00:00:27	27712	00:00:27	77	137	unknown	28	28					append
35	<KEYBOARD>	о	27821	00:00:27	27913	00:00:27	92	109	unknown	29	29					append
36	<KEYBOARD>	д	28486	00:00:28	28552	00:00:28	66	573	unknown	30	30					append
37	<KEYBOARD>	а	28668	00:00:28	28737	00:00:28	69	116	unknown	31	31					append
38	<KEYBOARD>	.	29563	00:00:29	29628	00:00:29	65	826	sentence end	32	32					append
39	<KEYBOARD>	SPACE	29832	00:00:29	29896	00:00:29	64	204	between sentence	33	33					append
